# Expected column widths from Prettier's own getStringWidth, not from this repository.
#
# Generated by running prettier 3.9.6's src/utilities/get-string-width.js verbatim
# (sha256 37f49dbe5815f5b191c246499e38887b2869eae3c12b4df31c7b5c6bba6802cf) against
# emoji-regex 10.6.0, get-east-asian-width 1.6.0 and narrow-emojis 0.0.3 under Node.
# Because the file is an oracle dump, a line may only be changed by regenerating it
# against a Prettier release - never by writing down what this package currently returns.
#
# Coverage: the worked examples from the #185 width spec, every narrow-emojis code point
# bare and again with U+FE0F, and one representative sequence per emoji-test.txt subgroup
# per qualification status (Unicode emoji 17.0, 2025-08-04). The same generator run over
# every emoji-test.txt sequence, each also embedded in ASCII, doubled, and placed beside
# wide and combining neighbours, produced 20900 cases that all agree with displayWidth;
# that full sweep is development evidence and is deliberately not committed at 860 KiB.
#
# Code points are hex, space separated; an empty field is the empty string.
# width	code points (hex)	description
2	1F48B	emoji-test emotion / fully-qualified
2	1F441 FE0F 200D 1F5E8	emoji-test emotion / minimally-qualified
2	1F44B	emoji-test hand-fingers-open / fully-qualified
2	1F590	emoji-test hand-fingers-open / unqualified
2	1F44C	emoji-test hand-fingers-partial / fully-qualified
2	270C	emoji-test hand-fingers-partial / unqualified
2	1F448	emoji-test hand-single-finger / fully-qualified
2	261D	emoji-test hand-single-finger / unqualified
2	1F44D	emoji-test hand-fingers-closed / fully-qualified
2	1F44F	emoji-test hands / fully-qualified
2	270D FE0F	emoji-test hand-prop / fully-qualified
2	270D	emoji-test hand-prop / unqualified
2	1F4AA	emoji-test body-parts / fully-qualified
2	1F476	emoji-test person / fully-qualified
2	1F9D4 200D 2642	emoji-test person / minimally-qualified
2	1F64D	emoji-test person-gesture / fully-qualified
2	1F64D 200D 2642	emoji-test person-gesture / minimally-qualified
2	1F9D1 200D 2695 FE0F	emoji-test person-role / fully-qualified
2	1F9D1 200D 2695	emoji-test person-role / minimally-qualified
2	1F575	emoji-test person-role / unqualified
2	1F47C	emoji-test person-fantasy / fully-qualified
2	1F9B8 200D 2642	emoji-test person-fantasy / minimally-qualified
2	1F486	emoji-test person-activity / fully-qualified
2	1F486 200D 2642	emoji-test person-activity / minimally-qualified
2	1F574	emoji-test person-activity / unqualified
2	1F93A	emoji-test person-sport / fully-qualified
2	1F3CC FE0F 200D 2642	emoji-test person-sport / minimally-qualified
2	1F9D8	emoji-test person-resting / fully-qualified
2	1F9D8 200D 2642	emoji-test person-resting / minimally-qualified
2	1F9D1 1F3FB 200D 2764 200D 1F48B 200D 1F9D1 1F3FC	emoji-test family / minimally-qualified
2	1F3FB	emoji-test skin-tone / component
2	1F9B0	emoji-test hair-style / component
2	1F435	emoji-test animal-mammal / fully-qualified
2	1F43B 200D 2744	emoji-test animal-mammal / minimally-qualified
2	1F983	emoji-test animal-bird / fully-qualified
2	1F438	emoji-test animal-amphibian / fully-qualified
2	1F40A	emoji-test animal-reptile / fully-qualified
2	1F433	emoji-test animal-marine / fully-qualified
2	1F40C	emoji-test animal-bug / fully-qualified
2	1F490	emoji-test plant-flower / fully-qualified
2	1F331	emoji-test plant-other / fully-qualified
2	1F347	emoji-test food-fruit / fully-qualified
